Species,CommonName,ScientificName,ITIS_ID
COYE,Common Yellowthroat,Geothlypis trichas ,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=178944
MAWR,Marsh Wren,Cistothorus palustris,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=178608
PBGR,Pied-billed Grebe,Podilymbus podiceps,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=174505
RWBL,Red-winged Blackbird,Agelaius phoeniceus,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=179045
VIRA,Virginia Rail,Rallus limicola,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=176221
YHBL,Yellow-headed Blackbird,Xanthocephalus xanthocephalus,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=179043
